,,,Wanted Ratio,Wanted Diameter,,,,,,,,,,,,,,,,,
,,(mm),4,110,,,,,,(mm),(mm),(mm),(m),(mm),,(uH),Toroid Toplaod,(mm),(pF),(kHz),(Ohm)
,,Wire diameter,Approximation on perfect Wire diameter,,,,,,Ratio,Coil diameter,Coil length,Wire diameter,Wire length,Wire spacing,Turns,Inductance,major diameter,minor diameter,capacity,Frequency,Impedance
110,440,"0,01","1594613,36649642",,,,,,"7,0000",110,770,"0,3",806,"0,03",2333,"79121,8212",616,88,"23,9065","115,721","57529,4014"
110,440,"0,02","797306,683248208",,,,,,"6,9091",110,760,"0,3",796,"0,03",2303,"78032,2472",608,88,"23,6854","117,069","57397,9343"
110,440,"0,03","531537,788832139",,,,,,"6,8182",110,750,"0,3",785,"0,03",2273,"76942,7743",600,88,"23,4625","118,454","57265,9583"
110,440,"0,04","398653,341624104",,,,Global Coil diameter,,"6,7273",110,740,"0,3",775,"0,03",2242,"75853,4062",592,88,"23,2377","119,877","57133,4871"
110,440,"0,05","318922,673299283",,,,110,,"6,6364",110,730,"0,3",764,"0,03",2212,"74764,1471",584,88,"23,0110","121,340","57000,5363"
110,440,"0,06","265768,894416069",,,,,,"6,5455",110,720,"0,3",754,"0,03",2182,"73675,0012",576,88,"22,7823","122,846","56867,1233"
110,440,"0,07","227801,909499488",,,,Global Coil length,,"6,4545",110,710,"0,3",744,"0,03",2152,"72585,9728",568,88,"22,5516","124,396","56733,2678"
110,440,"0,08","199326,670812052",,,,770,,"6,3636",110,700,"0,3",733,"0,03",2121,"71497,0669",560,88,"22,3188","125,991","56598,9919"
110,440,"0,09","177179,262944046",,,,,,"6,2727",110,690,"0,3",723,"0,03",2091,"70408,2882",552,88,"22,0839","127,635","56464,3202"
110,440,"0,1","159461,336649642",,,,Global Wire diameter,,"6,1818",110,680,"0,3",712,"0,03",2061,"69319,6421",544,88,"21,8468","129,330","56329,2806"
110,440,"0,11","144964,851499674",,,,"0,3",,"6,0909",110,670,"0,3",702,"0,03",2030,"68231,1341",536,88,"21,6075","131,077","56193,9037"
110,440,"0,12","132884,447208035",,,,,,"6,0000",110,660,"0,3",691,"0,03",2000,"67142,7699",528,88,"21,3659","132,880","56058,2242"
110,440,"0,13","122662,56665357",,,,,,"5,9091",110,650,"0,3",681,"0,03",1970,"66054,5559",520,88,"21,1219","134,742","55922,2804"
110,440,"0,14","113900,954749744",,,,,,"5,8182",110,640,"0,3",670,"0,03",1939,"64966,4985",512,88,"20,8755","136,665","55786,1151"
110,440,"0,15","106307,557766428",,,,,,"5,7273",110,630,"0,3",660,"0,03",1909,"63878,6046",504,88,"20,6266","138,653","55649,7760"
110,440,"0,16","99663,335406026",,,,,,"5,6364",110,620,"0,3",649,"0,03",1879,"62790,8815",496,88,"20,3752","140,709","55513,3162"
110,440,"0,17","93800,786264495",,,,,,"5,5455",110,610,"0,3",639,"0,03",1848,"61703,3371",488,88,"20,1212","142,837","55376,7948"
110,440,"0,18","88589,6314720231",,,,,,"5,4545",110,600,"0,3",628,"0,03",1818,"60615,9796",480,88,"19,8644","145,040","55240,2775"
110,440,"0,19","83927,019289285",,,,,,"5,3636",110,590,"0,3",618,"0,03",1788,"59528,8177",472,88,"19,6049","147,324","55103,8376"
110,440,"0,2","79730,6683248208",,,,,,"5,2727",110,580,"0,3",607,"0,03",1758,"58441,8608",464,88,"19,3424","149,693","54967,5568"
110,440,"0,21","75933,9698331627",,,,,,"5,1818",110,570,"0,3",597,"0,03",1727,"57355,1187",456,88,"19,0771","152,152","54831,5258"
110,440,"0,22","72482,4257498371",,,,,,"5,0909",110,560,"0,3",586,"0,03",1697,"56268,6022",448,88,"18,8086","154,706","54695,8462"
110,440,"0,23","69331,0159346268",,,,,,"5,0000",110,550,"0,3",576,"0,03",1667,"55182,3224",440,88,"18,5371","157,362","54560,6311"
110,440,"0,24","66442,2236040173",,,,,,"4,9091",110,540,"0,3",565,"0,03",1636,"54096,2914",432,88,"18,2623","160,125","54426,0068"
110,440,"0,25","63784,5346598566",,,,,,"4,8182",110,530,"0,3",555,"0,03",1606,"53010,5221",424,88,"17,9841","163,003","54292,1145"
110,440,"0,26","61331,2833267852",,,,,,"4,7273",110,520,"0,3",545,"0,03",1576,"51925,0282",416,88,"17,7025","166,003","54159,1123"
110,440,"0,27","59059,7543146821",,,,,,"4,6364",110,510,"0,3",534,"0,03",1545,"50839,8246",408,88,"17,4172","169,133","54027,1773"
110,440,"0,28","56950,477374872",,,,,,"4,5455",110,500,"0,3",524,"0,03",1515,"49754,9271",400,88,"17,1283","172,403","53896,5081"
110,440,"0,29","54986,6678102212",,,,,,"4,4545",110,490,"0,3",513,"0,03",1485,"48670,3527",392,88,"16,8356","175,822","53767,3279"
110,440,"0,3","53153,7788832139",,,,,,"4,3636",110,480,"0,3",503,"0,03",1455,"47586,1197",384,88,"16,5388","179,402","53639,8880"
110,440,"0,31","51439,1408547231",,,,,,"4,2727",110,470,"0,3",492,"0,03",1424,"46502,2479",376,88,"16,2380","183,154","53514,4715"
110,440,"0,32","49831,667703013",,,,,,"4,1818",110,460,"0,3",482,"0,03",1394,"45418,7584",368,88,"15,9328","187,092","53391,3983"
110,440,"0,33","48321,6171665581",,,,,,"4,0909",110,450,"0,3",471,"0,03",1364,"44335,6743",360,88,"15,6232","191,231","53271,0305"
110,440,"0,34","46900,3931322475",,,,,,"4,0000",110,440,"0,3",461,"0,03",1333,"43253,0203",352,88,"15,3090","195,586","53153,7789"
110,440,"0,35","45560,3818998976",,,,,,"3,9091",110,430,"0,3",450,"0,03",1303,"42170,8235",344,88,"14,9901","200,176","53040,1105"
110,440,"0,36","44294,8157360116",,,,,,"3,8182",110,420,"0,3",440,"0,03",1273,"41089,1131",336,88,"14,6661","205,022","52930,5580"
110,440,"0,37","43097,6585539572",,,,,,"3,7273",110,410,"0,3",429,"0,03",1242,"40007,9207",328,88,"14,3369","210,145","52825,7303"
110,440,"0,38","41963,5096446425",,,,,,"3,6364",110,400,"0,3",419,"0,03",1212,"38927,2809",320,88,"14,0023","215,573","52726,3260"
110,440,"0,39","40887,5222178568",,,,,,"3,5455",110,390,"0,3",408,"0,03",1182,"37847,2316",312,88,"13,6620","221,333","52633,1486"
110,440,"0,4","39865,3341624104",,,,,,"3,4545",110,380,"0,3",398,"0,03",1152,"36767,8138",304,88,"13,3159","227,458","52547,1262"
110,440,"0,41","38893,008938937",,,,,,"3,3636",110,370,"0,3",387,"0,03",1121,"35689,0728",296,88,"12,9636","233,986","52469,3349"
110,440,"0,42","37966,9849165813",,,,,,"3,2727",110,360,"0,3",377,"0,03",1091,"34611,0582",288,88,"12,6048","240,960","52401,0270"
110,440,"0,43","37084,0317789864",,,,,,"3,1818",110,350,"0,3",367,"0,03",1061,"33533,8245",280,88,"12,2392","248,428","52343,6670"
110,440,"0,44","36241,2128749185",,,,,,"3,0909",110,340,"0,3",356,"0,03",1030,"32457,4319",272,88,"11,8666","256,448","52298,9758"
110,440,"0,45","35435,8525888092",,,,,,"3,0000",110,330,"0,3",346,"0,03",1000,"31381,9468",264,88,"11,4866","265,084","52268,9866"
110,440,"0,46","34665,5079673134",,,,,,"2,9091",110,320,"0,3",335,"0,03",970,"30307,4430",256,88,"11,0988","274,415","52256,1151"
110,440,"0,47","33927,9439680088",,,,,,"2,8182",110,310,"0,3",325,"0,03",939,"29234,0022",248,88,"10,7028","284,530","52263,2503"
110,440,"0,48","33221,1118020087",,,,,,"2,7273",110,300,"0,3",314,"0,03",909,"28161,7158",240,88,"10,2981","295,537","52293,8711"
